Organization Name,Description,Organization Name URL,Mega theme,Focus Area,Headquarters Location,Estimated Revenue Range,Founded Year,Industries,Number of Employees,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Top 5 Investors,IPqwery - Patents Granted,Year Score (0.4),Funding Score (0.6),Employee Score (0),Total Score,Maturity
CognitiveScale,CognitiveScale provides industry-specific enterprise cognitive cloud software.,https://www.crunchbase.com/organization/cognitivescale,#REF!,,"Austin, Texas, United States",$1M to $10M,2013,"Artificial Intelligence, Big Data, Information Services, Information Technology, Machine Learning, SaaS, Software",51-100,Early Stage Venture,31/07/2020,,Series B,40000000,"Intel Capital, Norwest Venture Partners, IBM, The Westly Group, USAA",98,0.5,1,1,0.85,Mature
N26,N26 offers mobile banking solutions to customers in the European Union through its subsidiary.,https://www.crunchbase.com/organization/n26,#REF!,,"Berlin, Berlin, Germany",$50M to $100M,2013,"Banking, Finance, Financial Services, FinTech",1001-5000,Late Stage Venture,26/02/2021,36216225,Series D,819009300,"Tencent, Battery Ventures, GIC, Earlybird Venture Capital, Insight Partners",0,0.5,1,1,0.85,Mature
dv01,"As a hub between lenders and capital markets, dv01 provides one source of transparent data for bonds and whole loans.",https://www.crunchbase.com/organization/dv01,#REF!,,"New York, New York, United States",$1M to $10M,2014,"Lending, Risk Management",51-100,Early Stage Venture,12/01/2021,6000000,Series B,34000000,"Ribbit Capital, Illuminate Financial, Clocktower Technology Ventures, Soros Fund Management, Recharge Capital",0,0.5,1,1,0.85,Mature
Trustly,Pay directly from your online bank,https://www.crunchbase.com/organization/trustly-group,#REF!,,"Stockholm, Stockholms Lan, Sweden",$10M to $50M,2008,"E-Commerce, Finance, FinTech, Internet, Payments, Privacy, Security, Social Media",251-500,M&A,10/06/2020,,Venture - Series Unknown,28862926,"Neuberger Berman Group, Bridgepoint, BDC Venture Capital, BlackRock Private Equity Partners, Aberdeen Standard Investments",0,1,0.66,1,0.83,Mature
PeerIQ,"PeerIQ is a data and risk analytics firm that helps institutions analyze, access and manage risk in the alternative lending sector.",https://www.crunchbase.com/organization/peeriq,#REF!,,"New York, New York, United States",$1M to $10M,2014,"Analytics, Big Data, Credit, Financial Services, FinTech, Risk Management",,M&A,02/08/2017,12000000,Series A,20500000,"TransUnion, Macquarie Group, Fenway Summer Ventures, Panorama Point Partners, Vikram Pandit",,0.5,0.33,0,0.315,Nascent
Braintree,Braintree's payment platform provides all the tools online and mobile businesses need to accept payments.,https://www.crunchbase.com/organization/braintree-payment-solutions,#REF!,,"Chicago, Illinois, United States",$100M to $500M,2007,"Billing, Credit Cards, FinTech, Payments",251-500,M&A,17/09/2012,35000000,Series B,69000000,"New Enterprise Associates, Accel, RRE Ventures, Greycroft",,1,1,1,1,Mature
SeedLegals,The simple way for companies to complete the legals needed to raise investment and distribute equity,https://www.crunchbase.com/organization/seedlegals,#REF!,,"London, England, United Kingdom",$1M to $10M,2016,"Angel Investment, Enterprise Software, Financial Services, FinTech, Funding Platform, Legal, Venture Capital",,Early Stage Venture,28/05/2019,4000000,Series A,5305154,"Index Ventures, Seedcamp, Kima Ventures, The Family, Will Neale",0,0.5,0.33,0,0.315,Nascent
Elucidate,"Elucidate is the only regulated, universal benchmark for the quantification and scoring of financial crime risk.",https://www.crunchbase.com/organization/elucidate-gmbh,#REF!,,"Berlin, Berlin, Germany",Less than $1M,2018,"Compliance, Financial Services, GovTech, Information Technology, Risk Management",,Seed,09/03/2021,2974267,Seed,6594162,"SixThirty, 11.2 Capital, APEX Ventures, Big Start Ventures, Seed X Liechtenstein",0,0.5,0,0,0.15,Nascent
Genesis Global,Genesis Global is a low-code technology platform that helps financial institutions build new applications.,https://www.crunchbase.com/organization/genesis-global-solutions,#REF!,,"London, England, United Kingdom",$1M to $10M,2012,"Enterprise Software, Financial Services, FinTech, Information Technology, Software",51-100,Early Stage Venture,15/03/2021,45000000,Series B,49800000,"Citi, Salesforce Ventures, GV, Accel, Illuminate Financial",0,0.5,1,1,0.85,Mature
NetDocuments,"NetDocuments enables businesses of all sizes to create, secure, manage, access, and collaborate on documents and email anywhere, any time.",https://www.crunchbase.com/organization/netdocuments,#REF!,,"Lehi, Utah, United States",$10M to $50M,1999,"Cloud Data Services, Email, Enterprise Software, SaaS, Software",251-500,M&A,25/05/2021,,Secondary Market,29999999,"Clearlake Capital Group, Warburg Pincus, Frontier Growth, Cove Hill Partners",0,1,0.66,1,0.83,Mature
Kasisto,"Kasisto's enables financial institutions to service, engage, and acquire customers.",https://www.crunchbase.com/organization/kasisto-inc,#REF!,,"New York, New York, United States",Less than $1M,2013,"Artificial Intelligence, Computer, Financial Services, FinTech, Information Technology, Software",51-100,Early Stage Venture,04/02/2020,7000000,Series B,50450000,"Mastercard, Oak HC/FT, Commerce Ventures, Harvard Business School, Two Sigma Ventures",3,0.5,1,1,0.85,Mature
Beacon,Beacon aims to become a global leader in providing technology & services to manage our customers entire supply chain.,https://www.crunchbase.com/organization/beacon-c8a5,#REF!,,"London, England, United Kingdom",$10M to $50M,2018,"Freight Service, Logistics, Supply Chain Management",101-250,Early Stage Venture,01/06/2020,15000000,Series A,15000000,"FJ Labs, Jeff Bezos, 8VC, Red Sea Ventures, Eric Schmidt",0,0.5,0.33,1,0.515,Emerging
Ayasdi,Ayasdi offers a machine intelligence platform that helps organizations gain transformative advantage from big data,https://www.crunchbase.com/organization/ayasdi,#REF!,,"Menlo Park, California, United States",$10M to $50M,2008,"Analytics, Artificial Intelligence, Big Data, Data Visualization, Machine Learning, Software",51-100,Late Stage Venture,25/03/2015,55000000,Series C,106348982,"Khosla Ventures, Kleiner Perkins, Citi Ventures, IVP (Institutional Venture Partners), GE Ventures",23,1,1,1,1,Mature
ClauseMatch,ClauseMatch is a financial technology company that provides software-as-a-service platform for smart document management.,https://www.crunchbase.com/organization/clausematch,#REF!,,"London, England, United Kingdom",$1M to $10M,2012,"FinTech, Information Technology, SaaS, Software",101-250,Early Stage Venture,08/12/2020,,Non-equity Assistance,9274187,"Index Ventures, Techstars, Speedinvest, Silicon Valley Bank, SparkLabs Global Ventures",0,0.5,0.66,1,0.68,Mature
Fundation,Fundation enables SMBs access to capital through our bank partners & our own balance sheet. We partner to offer embedded credit.,https://www.crunchbase.com/organization/fundation,#REF!,,"Reston, Virginia, United States",$10M to $50M,2011,"Finance, Financial Services, FinTech, Lending, Software",101-250,M&A,17/05/2018,120000000,Debt Financing,257728967,"Goldman Sachs, Empire Angels, SunTrust Bank, MidCap Financial, Waterfall Asset Management",0,1,0.66,1,0.83,Mature
Hastee,Hastee is a mobile application that allows workers to receive a portion of their earned pay immediately.,https://www.crunchbase.com/organization/hastee-pay,#REF!,,"London, England, United Kingdom",$1M to $10M,2017,"Employee Benefits, Financial Services, FinTech",101-250,Early Stage Venture,02/12/2019,20000000,Series A,275700000,"IDC Ventures, Umbra Capital Partners",0,0.5,0.33,1,0.515,Emerging
BeeTech,BeeTech connects financial technology and innovation to transparency for the main currency exchange services in the world.,https://www.crunchbase.com/organization/beetech,#REF!,,"São Paulo, Sao Paulo, Brazil",$1M to $10M,2016,"Finance, Financial Exchanges, Financial Services, FinTech, Payments",101-250,Early Stage Venture,22/06/2021,3975000,Debt Financing,34665179,"Global Founders Capital, Kaszek, Kevin Efrusy, MAR ventures, Fabio Armaganijan",,0.5,0.66,1,0.68,Mature
Credorax,Credorax provides online payment processing and acquiring bank services for a diverse range of online merchants.,https://www.crunchbase.com/organization/credorax,#REF!,,"Southborough, Massachusetts, United States",$1M to $10M,2008,"E-Commerce, Financial Services, Payments",101-250,,01/06/2018,15000000,Debt Financing,95000000,"FTV Capital, Blumberg Capital, ATW Partners, Ion Pacific, Mobile Internet Capital",,1,0.66,1,0.83,Mature
PitchBook Data,"PitchBook provides comprehensive M&A, private equity, and venture capital data, as well as daily industry news and analysis.",https://www.crunchbase.com/organization/pitchbook-data,#REF!,,"Seattle, Washington, United States",$50M to $100M,2007,"Analytics, Finance, Venture Capital",501-1000,M&A,27/01/2016,10000000,Series B,13800000,"Morningstar, Brock Mansfield",0,1,1,1,1,Mature
Digital Reasoning,Digital Reasoning is a developer of an artificial intelligence cognitive computing platform intended for businesses.,https://www.crunchbase.com/organization/digital-reasoning-systems,#REF!,,"Franklin, Tennessee, United States",$10M to $50M,2000,"Analytics, Artificial Intelligence, Big Data, Machine Learning, Natural Language Processing, Software, Text Analytics",101-250,M&A,27/01/2020,20000000,Series D,133959965,"Macquarie Group, Credit Suisse, Nasdaq, Barclays, HCA",22,1,1,1,1,Mature
Mylo,Mylo is the largest independent and unbiased insurance broker.,https://www.crunchbase.com/organization/mylo-13f7,#REF!,,"Kansas City, Missouri, United States",$10M to $50M,2015,"Financial Services, Health Insurance, Insurance",101-250,,13/11/2020,11000000,Venture - Series Unknown,39000000,Guggenheim Partners,,0.5,0.66,1,0.68,Mature
Stockpile,"Stockpile is the easiest way for beginners, including kids and millennials, to learn about stock, invest in stocks or to gift stocks.",https://www.crunchbase.com/organization/stockpile,#REF!,,"Palo Alto, California, United States",$100M to $500M,2010,"Consumer Software, Financial Services, Gift Card, Retail",,Early Stage Venture,28/09/2017,30000000,Series B,45000000,"Fidelity, Mayfield Fund, Eight Roads Ventures, 10x Group, Forté Ventures",2,1,1,0,0.8,Mature
DueDil,DueDil is a company intelligence platform that gives businesses a solution to identify opportunities and manage risk.,https://www.crunchbase.com/organization/duedil,#REF!,,"London, England, United Kingdom",$1M to $10M,2011,"Data Integration, Information Services, Risk Management, Software",101-250,Late Stage Venture,13/06/2019,1267918,Series C,53381935,"Augmentum Fintech, Notion Capital, Concentric, Playfair Capital, Shakil Khan",0,1,1,1,1,Mature
Affordplan,A tech product for doctors and patients to co-design payment plans for non-emergency healthcare services.,https://www.crunchbase.com/organization/affordplan,#REF!,,"New Delhi, Delhi, India",$1M to $10M,2016,"FinTech, Health Care, Hospitality",101-250,Early Stage Venture,16/04/2018,,Series B,11972484,"Flourish Ventures, Kalaari Capital, Prime Venture Partners, Omidyar Network, Lok Capital",,0.5,1,1,0.85,Mature
Numerated,Numerated is the fast-growing fintech making business banking easy for financial institutions and their clients.,https://www.crunchbase.com/organization/numerated,#REF!,,"Boston, Massachusetts, United States",Less than $1M,2017,"Banking, Financial Services, FinTech, Lending, Marketing Automation",101-250,Early Stage Venture,10/09/2019,15000000,Series B,32000000,"Venrock, Cultivation Capital, FIS, Fenway Summer Ventures, Hyperplane Venture Capital",0,0.5,1,1,0.85,Mature
IEX Group,"IEX is an equity trading venue owned exclusively by buy-side investors, including mutual funds, hedge funds, and family offices.",https://www.crunchbase.com/organization/iex,#REF!,,"New York, New York, United States",$10M to $50M,2012,"E-Commerce, Finance, Financial Exchanges, Financial Services, Information Services, Price Comparison, Stock Exchanges",51-100,,03/12/2020,,Venture - Series Unknown,100900000,"Spark Capital, Bain Capital Ventures, Sapphire Ventures, Franklin Templeton Investments, Third Point Ventures",25,0.5,0.66,1,0.68,Mature
TransferMate Global Payments,"TransferMate is a global B2B payments technology that enables companies to send & receive payments cheaper, faster, easier than ever before.",https://www.crunchbase.com/organization/transfermate-global-payments,#REF!,,"Dublin, Dublin, Ireland",Less than $1M,2010,"B2B, Financial Services, FinTech, Payments",101-250,Early Stage Venture,29/07/2018,24484542,Series B,59687711,"ING Group, Allied Irish Banks",0,1,1,1,1,Mature
Fantom Foundation,FANTOM is the world's first DAG based smart contract platform.,https://www.crunchbase.com/organization/fantom-foundation,#REF!,,"Seoul, Seoul-t'ukpyolsi, South Korea",$1M to $10M,2018,"Blockchain, Information Technology",,,22/06/2018,40000000,Venture - Series Unknown,40000000,"Arrington XRP Capital, DHVC, 8 Decimal Capital, Signum Capital, Kosmos Ventures",,0.5,0.66,0,0.48,Emerging
Finxact,Finxact is innovating the first enterprise class public cloud/private data Core-as-a-Service platform with a completely open banking API.,https://www.crunchbase.com/organization/finxact,#REF!,,"Jacksonville, Florida, United States",$1M to $10M,1990,"Banking, Financial Services, Software",,Private Equity,25/01/2019,30000000,Private Equity,42000000,"Accenture, LiveOak Venture Partners, Woodforest National Bank, SunTrust Bank, Live Oak Ventures, LLC",0,1,0.66,0,0.63,Mature
Payrailz,Payrailz is a digital payments company that offers advanced bill payment and money transfer solutions to banks and credit unions.,https://www.crunchbase.com/organization/payrailz,#REF!,,"Glastonbury, Connecticut, United States",$1M to $10M,2016,"Banking, Financial Services, FinTech, Payments",,,30/08/2019,14500000,Venture - Series Unknown,24250000,"First Data, TTV Capital, Woodforest National Bank, CardConnect, Webster Bank",0,0.5,0.66,0,0.48,Emerging
Sigma Ratings,Sigma Ratings is an AI-powered non-credit rating agency focused on quantifying company-level non-credit risks.,https://www.crunchbase.com/organization/sigma-ratings,#REF!,,"New York, New York, United States",$1M to $10M,2016,"Artificial Intelligence, Compliance, Information Technology, Machine Learning",,Seed,29/10/2020,6000000,Seed,9100000,"Techstars, Massachusetts Institute of Technology, Barclays, Contour Venture Partners, FinTech Collective",2,0.5,0,0,0.15,Nascent
Tookitaki,Tookitaki provides softwares to enable sustainable regulatory compliance programs,https://www.crunchbase.com/organization/tookitaki,#REF!,,"Singapore, Central Region, Singapore",$1M to $10M,2014,"Compliance, Finance, FinTech, Machine Learning, Predictive Analytics, SaaS, Software",51-100,Early Stage Venture,25/11/2019,11700000,Series A,20456000,"Blume Ventures, Illuminate Financial, Jungle Ventures, Seeds Capital, Rebright Partners",0,0.5,0.33,1,0.515,Emerging
Zhong An,Zhong An is an Internet-based insurance company that sells all its products online along with handling claims.,https://www.crunchbase.com/organization/zhongan,#REF!,,"Shanghai, Shanghai, China",$50M to $100M,2013,"Finance, Insurance",1001-5000,IPO,20/08/2018,,Post-IPO Equity,936984860,"CICC, Morgan Stanley, SoftBank Vision Fund, CDH Investments",,0.5,0.66,1,0.68,Mature
Seal Software,Seal Software develops contract discovery and contract management software solutions.,https://www.crunchbase.com/organization/seal-software-com,#REF!,,"Walnut Creek, California, United States",$1M to $10M,2010,"Analytics, Artificial Intelligence, Machine Learning, Project Management, Software",101-250,M&A,28/03/2019,15000000,Corporate Round,58000000,"DocuSign, Tern, Toba Capital",0,1,0.66,1,0.83,Mature
Ripjar,Ripjar is a data intelligence company that transforms global institutions ability to manage strategic risks.,https://www.crunchbase.com/organization/ripjar,#REF!,,"Cheltenham, Gloucestershire, United Kingdom",$1M to $10M,2012,"Analytics, Artificial Intelligence, Cyber Security, Data Visualization, Natural Language Processing, Predictive Analytics, Software",51-100,Early Stage Venture,24/09/2020,36800000,Series B,41487468,"Accenture, Winton Ventures, CyLon, Long Ridge Equity Partners",0,0.5,1,1,0.85,Mature
Zanbato,"Zanbato is a private securities crossing network that provides market data, counter-party verification, and order execution.",https://www.crunchbase.com/organization/zanbato,#REF!,,"Mountain View, California, United States",Less than $1M,2010,"Financial Services, Information Services, Market Research",,Late Stage Venture,08/02/2021,,Series C,53144552,"Blumberg Capital, Sway Ventures, Formation 8, SparkLabs Global Ventures, Webb Investment Network",1,1,1,0,0.8,Mature
CrossLend,CrossLend designs a cross-border marketplace lending platform that makes pan-European investments possible via a single platform.,https://www.crunchbase.com/organization/crosslend,#REF!,,"Berlin, Berlin, Germany",$10M to $50M,2014,"Commercial Lending, Credit, Finance, Financial Services, FinTech, Marketplace",101-250,Early Stage Venture,16/10/2019,38759861,Series B,55027507,"Solarisbank, Earlybird Venture Capital, Mouro Capital, Lakestar, Atlantic Labs",0,0.5,1,1,0.85,Mature
SharesPost,SharesPost is a company that provides liquidity solutions in the private growth asset market.,https://www.crunchbase.com/organization/sharespost,#REF!,,"San Francisco, California, United States",$50M to $100M,2009,"Banking, Finance, Financial Services, FinTech, Internet",101-250,M&A,02/12/2019,5000000,Debt Financing,20000000,"Kenetic, LUN Partners Group, ClearVision Equity Partners, RightVentures, Operative Capital",3,1,0.66,1,0.83,Mature
Jiko,Jiko is a financial technology company that offers a new way to store and move money.,https://www.crunchbase.com/organization/jiko,#REF!,,"Berkeley, California, United States",$1M to $10M,2016,"Banking, Financial Services, FinTech, Trading Platform",,Early Stage Venture,29/10/2020,40000000,Series A,49400000,"Digital Currency Group, Nyca Partners, Social Capital, Core Innovation Capital, Upfront Ventures",,0.5,0.33,0,0.315,Nascent
Agora,Agora Services is a provider of digital platform banking solutions.,https://www.crunchbase.com/organization/agora-services-whats-in-your-core,#REF!,,"Atlanta, Georgia, United States",$1M to $10M,2018,"Banking, Debit Cards, FinTech, Mobile Payments, Payments, Personal Finance",,Seed,27/02/2020,2000000,Seed,2000000,"Mastercard Start Path, ICBA, The Venture Center",,0.5,0,0,0.15,Nascent
Pulley,"Pulley offers a cap table management platform designed to help startup founders, employees, and investors monitor their equity information.",https://www.crunchbase.com/organization/pulley,#REF!,,"San Francisco, California, United States",$1M to $10M,2019,"Financial Services, FinTech, Information Services, Software",,Early Stage Venture,21/10/2020,10000000,Series A,10150000,"General Catalyst, Stripe, Y Combinator, 8VC, Elad Gil",,0.5,0.33,0,0.315,Nascent
Symbiont,Symbiont has developed the market-leading platform for institutional applications of blockchain technology.,https://www.crunchbase.com/organization/symbiont,#REF!,,"New York, New York, United States",$1M to $10M,2013,"Blockchain, Financial Services, FinTech",51-100,Early Stage Venture,30/08/2020,,Series B,36610000,"Galaxy Digital, Citi Ventures, Berkeley SkyDeck, Fenbushi Capital, DHVC",,0.5,1,1,0.85,Mature
Alloy,Alloy enables consumer goods brands to scale demand and inventory visibility and turn it into action.,https://www.crunchbase.com/organization/alloy-3,#REF!,,"San Francisco, California, United States",Less than $1M,2016,"Artificial Intelligence, Consumer Goods, Machine Learning, PaaS, Predictive Analytics, Retail, SaaS, Sales, Supply Chain Management",,Early Stage Venture,14/05/2018,12000000,Series A,15300000,"Menlo Ventures, 8VC, Refactor Capital",0,0.5,0.33,0,0.315,Nascent
Canopy,Canopy develops an online tax workflow management software that manages the tax workflow of tax practitioners.,https://www.crunchbase.com/organization/beanstalk-tax,#REF!,,"Lehi, Utah, United States",Less than $1M,2014,"Accounting, Small and Medium Businesses, Software",101-250,Late Stage Venture,29/06/2021,11000000,Series C,112547069,"New Enterprise Associates, Nyca Partners, Pelion Venture Partners, Tenaya Capital, NewView Capital",0,0.5,1,1,0.85,Mature
Blockchain.com,"Blockchain.com is a platform that offers ways to buy, hold, and use cryptocurrency.",https://www.crunchbase.com/organization/blockchain-info,#REF!,,"London, England, United Kingdom",$500M to $1B,2011,"Bitcoin, Blockchain, Cryptocurrency, FinTech, Trading Platform",501-1000,Late Stage Venture,24/03/2021,300000000,Series C,490000000,"Digital Currency Group, GV, Eldridge, DST Global, Lightspeed Venture Partners",,1,1,1,1,Mature
Silverfin,Silverfin is the cloud platform for automated financial reporting and value-added client advisory services.,https://www.crunchbase.com/organization/silverfin-2,#REF!,,"Gent, Oost-Vlaanderen, Belgium",$1M to $10M,2013,"Accounting, Financial Services, FinTech, SaaS, Software",101-250,Early Stage Venture,09/06/2020,30000000,Series B,34500000,"Index Ventures, SmartFin, Hg",0,0.5,1,1,0.85,Mature
LevelUp,LevelUp is an online and mobile food ordering company that connects diners with local takeout restaurants.,https://www.crunchbase.com/organization/levelup,#REF!,,"Boston, Massachusetts, United States",$10M to $50M,2008,"CRM, Food and Beverage, Hospitality, Loyalty Programs, Mobile, Payments, Restaurants",101-250,M&A,17/05/2017,37000000,Venture - Series Unknown,115300000,"GV, Balderton Capital, Dreamit Ventures, JP Morgan Chase, Highland Capital Partners",19,1,0.66,1,0.83,Mature
Ondot Systems,Ondot enables card issuers to offer in-the-moment convenience with control and transparency to their physical and virtual cards.,https://www.crunchbase.com/organization/ondot,#REF!,,"Santa Clara, California, United States",$10M to $50M,2011,"Financial Services, FinTech, Mobile, Payments, Security, Software",251-500,M&A,22/10/2018,,Corporate Round,58480670,"Intel Capital, Citi Ventures, Gutbrain Ventures",,1,0.66,1,0.83,Mature
Visible Alpha,Visible Alpha delivers a data and analytics platform with comparable forecast models from the world's leading equity analysts.,https://www.crunchbase.com/organization/visible-alpha,#REF!,,"New York, New York, United States",Less than $1M,2012,"Analytics, Big Data, Finance, Information Technology, Market Research",101-250,,23/03/2018,,Venture - Series Unknown,38000000,"Bank of America, Macquarie Group, Wells Fargo, Mouro Capital, RBC Capital",,0.5,0.66,1,0.68,Mature
Active.ai,Active.ai is a service platform that connects consumers with their banks via micro conversation.,https://www.crunchbase.com/organization/active-ai,#REF!,,"Singapore, Central Region, Singapore",$1M to $10M,2016,"Artificial Intelligence, Financial Services, FinTech, Information Technology",51-100,,14/09/2020,,Undisclosed,14750000,"IDG Capital, Vertex Ventures, Kalaari Capital, Vertex Ventures Southeast Asia & India, InnoVen Capital",1,0.5,0,1,0.35,Nascent
BehavioSec,"BehavioSec is the pioneer for behavioral biometrics and continuous authentication, protecting millions of users and billions of transactions",https://www.crunchbase.com/organization/behaviosec,#REF!,,"San Francisco, California, United States",Less than $1M,2008,"Biometrics, FinTech, Fraud Detection, Network Security, Security",,Early Stage Venture,29/01/2018,17500000,Series B,25681285,"Octopus Ventures, Northzone, ForgePoint Capital, Cisco, ABN AMRO Ventures",8,1,1,0,0.8,Mature
H4,H4 is a digital platform transforming the documentation that underpins global financial markets and legal contracts.,https://www.crunchbase.com/organization/h4,#REF!,,"London, England, United Kingdom",$1M to $10M,2015,"FinTech, Information Services, Information Technology",101-250,,09/06/2020,27000000,Venture - Series Unknown,39000000,"Goldman Sachs, JP Morgan, Barclays",0,0.5,0.66,1,0.68,Mature
Funding Options,Funding Options is a business to business services marketplace platform operating in the UK and the Netherlands.,https://www.crunchbase.com/organization/funding-options,#REF!,,"London, England, United Kingdom",$1M to $10M,2011,"B2B, Banking, Commercial Lending, Financial Services, FinTech, Information Technology, Lending, Marketplace, Small and Medium Businesses",51-100,,14/06/2019,6295484,Grant,17752854,"ING Ventures, GLI Finance, Alan Morgan, Capability and Innovation Fund, The North West Fund",0,1,0.66,1,0.83,Mature
Finom,"Finom provides financial solutions for entrepreneurs, self-employed, and freelancers.",https://www.crunchbase.com/organization/finom-e735,#REF!,,"Amsterdam, Noord-Holland, The Netherlands",,2019,"Financial Services, FinTech",,Seed,24/09/2020,12025685,Seed,19140031,"General Catalyst, FJ Labs, Entrée Capital, Target Global, Rancilio Cube",,0.5,0,0,0.15,Nascent
Aumni,Aumni offers a solution that top VC firms use for a competitive edge and operational efficiency.,https://www.crunchbase.com/organization/aumni,#REF!,,"Salt Lake City, Utah, United States",,2018,"Analytics, Asset Management, Document Management, Venture Capital",51-100,Early Stage Venture,15/10/2020,3000000,Series A,13000000,"Quiet Capital, Blackhorn Ventures, Kickstart, Service Provider Capital, NEXT Frontier Capital",,0.5,0.33,1,0.515,Emerging
Future Finance,Future Finance is a non-government lender that offers student loans.,https://www.crunchbase.com/organization/future-finance,#REF!,,"Dublin, Dublin, Ireland",$10M to $50M,2014,"Education, Finance, Financial Exchanges, Financial Services",51-100,Late Stage Venture,09/07/2019,25770221,Series D,485190936,"Goldman Sachs, QED Investors, Blackstone Group, Invus, Fenway Summer Ventures",0,0.5,1,1,0.85,Mature
Broadway Technology,A leader in high-performance financial trading solutions and consulting services for top-tier global banks and hedge funds.,https://www.crunchbase.com/organization/broadway-technology,#REF!,,"New York, New York, United States",$10M to $50M,2003,"FinTech, Software, Trading Platform",51-100,Private Equity,09/05/2017,42000000,Private Equity,42000000,Long Ridge Equity Partners,6,1,0.66,1,0.83,Mature
Cowrywise,Cowrywise is a FinTech company that democratizes access to premium financial services by making these services available to the mass market.,https://www.crunchbase.com/organization/cowrywise,#REF!,,"Lagos, Lagos, Nigeria",$1M to $10M,2017,"Financial Services, FinTech, Personal Finance, Wealth Management",,Seed,28/01/2021,3000000,Seed,3300000,"Y Combinator, Quona Capital, Sahil Lavingia, Catalyst Fund, Microtraction",,0.5,0,0,0.15,Nascent
Quovo,Quovo provides account aggregation and data analytics technology for finance.,https://www.crunchbase.com/organization/quovo,#REF!,,"New York, New York, United States",$500M to $1B,2010,,51-100,M&A,03/05/2018,4800000,Series B,20975731,"Salesforce Ventures, F-Prime Capital, Eight Roads Ventures, FinTech Collective, Great West Lifeco",0,1,1,1,1,Mature
CloudMargin,CloudMarginwas is the cloud-based collateral management solution.,https://www.crunchbase.com/organization/cloudmargin,#REF!,,"London, England, United Kingdom",Less than $1M,2014,"Finance, Financial Services, Software",,Early Stage Venture,22/09/2020,15000000,Series B,25000000,"Citi, Deutsche Bank, IHS Markit, Illuminate Financial, Deutsche Borse",,0.5,1,0,0.65,Mature
Trusona,"Trusona secures identity authentication, removes passwords from the user experience, and elevate login experience.",https://www.crunchbase.com/organization/trusona,#REF!,,"Scottsdale, Arizona, United States",$1M to $10M,2015,"Cyber Security, Information Services, Information Technology, Internet",,Late Stage Venture,14/01/2020,20000000,Series C,38000000,"OurCrowd, Kleiner Perkins, Akamai Technologies, Georgian, M12",15,0.5,1,0,0.65,Mature
DealCloud,Deal management and business development software for principal investing and M&A advisory professionals.,https://www.crunchbase.com/organization/dealcloud,#REF!,,"Jersey City, New Jersey, United States",$10M to $50M,2010,"Banking, CRM, Enterprise Software, FinTech, Software",101-250,M&A,05/06/2017,4500000,Venture - Series Unknown,10066000,"Cultivation Capital, Hamilton Lane, FINTOP Capital, Cliff Holekamp, Joe Maxwell",,1,0.66,1,0.83,Mature
Collibra,Collibra delivers the only end-to-end Data Intelligence platform to accelerate digital business transformation.,https://www.crunchbase.com/organization/collibra,#REF!,,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",$100M to $500M,2008,"Analytics, Artificial Intelligence, Data Integration, Enterprise Software, Infrastructure",501-1000,Late Stage Venture,02/04/2020,112500000,Series F,346486133,"Index Ventures, Battery Ventures, ICONIQ Capital, Dawn Capital, CapitalG",1,1,1,1,1,Mature
Pockit,Pockit is a financial technology company that provides a digital banking app for the underbanked masses.,https://www.crunchbase.com/organization/pockit,#REF!,,"London, England, United Kingdom",$1M to $10M,2012,"Banking, Finance, Financial Services, FinTech, Personal Finance",,,04/12/2020,851002,Equity Crowdfunding,38008150,"Crowdcube, Public, Future Fund, Concentric, North East Development Capital Fund",0,0.5,0.66,0,0.48,Emerging
Netwealth,"Netwealth is an online wealth management service that brings together an experienced team, user-friendly technology and lower fees.",https://www.crunchbase.com/organization/netwealth,#REF!,,"London, England, United Kingdom",$10M to $50M,2015,"Finance, Financial Services, FinTech, Wealth Management",,,29/03/2021,15564931,Undisclosed,50954501,"Jim Mellon, Michael Spencer, Ed Wray, Julian Mash, Sir Stuart Rose",0,0.5,0,0,0.15,Nascent
CANDIS,CANDIS is Berlin-based company that offers an intelligent platform for automated accounting.,https://www.crunchbase.com/organization/candis,#REF!,,"Berlin, Berlin, Germany",$1M to $10M,2015,"Accounting, Artificial Intelligence, Financial Services, FinTech, SaaS, Software",101-250,Early Stage Venture,30/07/2020,14246519,Series B,15333283,"Speedinvest, Lightspeed Venture Partners, Viola Ventures, Point Nine, 42CAP",,0.5,1,1,0.85,Mature
CNote,"CNote is a financial services company that specializes in impact investing, financial inclusion, investing, and foundations.",https://www.crunchbase.com/organization/cnote,#REF!,,"Oakland, California, United States",Less than $1M,2016,"Finance, Financial Services, FinTech, Impact Investing",,Seed,25/08/2020,3000000,Seed,18196385,"SixThirty, The Artemis Fund, Lateral Capital, Oxford Angel Fund, Astia Angels",0,0.5,0,0,0.15,Nascent
Renew Financial,Renew Financial is a provider of district legislation financing to assist in property assessed clean energy (PACE) improvement financing.,https://www.crunchbase.com/organization/renew-financial,#REF!,,"Oakland, California, United States",$100M to $500M,2008,"Clean Energy, Finance, Financial Services, FinTech, Renewable Energy",251-500,Late Stage Venture,08/08/2017,300000000,Debt Financing,602200000,"Apollo, Morgan Stanley, Threshold, Prelude Ventures, NGEN Partners",0,1,0.66,1,0.83,Mature
